,fish_id,group,treatment,exposure,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar
335,3BT24hCTR10,24h 0.0%,0.0,24,1.0,12.0,22.0,70.4,3.1,2.5,0.22,1.4080000000000001,male,392.0
336,3BT24hCTR11,24h 0.0%,0.0,24,1.0,7.0,16.0,22.866666666666667,3.5,2.9,0.34,1.3940710976259791,female,229.0
337,3BT24hCTR12,24h 0.0%,0.0,24,1.0,9.0,21.0,39.15,3.5,2.8,0.33,1.5032798833819245,male,229.0
338,3BT24hCTR13,24h 0.0%,0.0,24,1.0,8.0,43.0,33.733333333333334,3.5,2.9,0.41,1.6810857353725042,female,229.0
339,3BT24hCTR14,24h 0.0%,0.0,24,1.0,3.0,44.0,5.2,3.4,2.6,0.29,1.649977241693218,male,367.0
340,3BT24hCTR15,24h 0.0%,0.0,24,1.0,8.0,12.0,29.6,3.3,2.8,0.42,1.9132653061224494,female,229.0
341,3BT24h00501,24h 0.5%,0.5,24,1.0,6.0,6.0,15.6,3.5,2.9,0.32,1.312066915412686,female,104.0
342,3BT24h00502,24h 0.5%,0.5,24,1.0,4.0,37.0,8.466666666666667,3.0,2.4,0.14,1.0127314814814816,male,166.8
343,3BT24h00503,24h 0.5%,0.5,24,1.0,6.0,3.0,15.3,2.8,2.3,0.17,1.3972219939179753,male,120.0
344,3BT24h00504,24h 0.5%,0.5,24,1.0,6.0,15.0,16.5,3.0,2.5,0.24,1.5359999999999998,female,107.0
345,3BT24h00505,24h 0.5%,0.5,24,1.0,6.0,7.0,15.7,2.8,2.4,0.18,1.3020833333333335,male,114.0
346,3BT24h00506,24h 0.5%,0.5,24,5.0,1.0,30.0,0.5,3.0,2.4,0.21,1.5190972222222223,female,166.8
347,3BT24h00507,24h 0.5%,0.5,24,2.0,6.0,18.0,16.8,3.1,2.4,0.18,1.3020833333333335,male,116.0
348,3BT24h00508,24h 0.5%,0.5,24,1.0,8.0,14.0,29.866666666666667,3.4,2.8,0.3,1.3666180758017497,female,288.0
