,fish_id,group,treatment,exposure,datetime,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
166,2BT01h00513,01h 0.5%,0.5,1,2021-08-05 14:47:02,0.0,bright,54.0,239.0,4.425925925925926,114.0,0.0,114.0,1327.8,0.0,1327.8,11.647368421052631,,11.647368421052631,3.3,2.6,0.35,1.9913518434228492,female,158.0,120.0,7.5
167,2BT01h00514,01h 0.5%,0.5,1,2021-08-05 15:03:39,4.0,bright,8.0,380.0,47.5,202.0,223.0,425.0,3149.7,3715.5,6865.2,15.592574257425742,16.661434977578477,16.12700461750211,3.1,2.4,0.27,1.9531250000000004,male,158.0,120.0,7.5
168,2BT01h00515,01h 0.5%,0.5,1,2021-08-05 15:20:01,0.0,bright,25.0,248.0,9.92,372.0,31.0,403.0,5537.4,644.0,6181.4,14.885483870967741,20.774193548387096,17.829838709677418,3.2,2.6,0.34,1.9344560764679108,female,158.0,120.0,7.5
169,2BT01h00516,01h 0.5%,0.5,1,2021-08-05 15:36:13,0.0,bright,0.0,480.0,480.0,401.0,0.0,401.0,5628.4,0.0,5628.4,14.035910224438902,,14.035910224438902,2.8,2.2,0.22,2.066115702479338,male,158.0,120.0,7.5
170,2BT01h01001,01h 1.0%,1.0,1,2021-08-06 10:18:33,10.0,bright,33.0,288.0,8.727272727272727,381.0,35.0,416.0,4221.7,702.25,4923.95,11.080577427821522,20.064285714285713,15.572431571053617,3.5,2.7,0.31,1.5749631661840162,male,307.25,120.0,7.6
171,2BT01h01002,01h 1.0%,1.0,1,2021-08-06 10:34:51,0.0,bright,25.0,96.0,3.84,380.0,57.0,437.0,3984.3,82.0,4066.3,10.485000000000001,1.4385964912280702,5.961798245614036,2.7,2.1,0.23,2.4835330957779935,male,307.25,120.0,7.6
172,2BT01h01003,01h 1.0%,1.0,1,2021-08-06 10:51:29,0.0,bright,31.0,222.0,7.161290322580645,198.0,0.0,198.0,1519.92,0.0,1519.92,7.676363636363637,,7.676363636363637,3.6,2.8,0.44,2.0043731778425657,female,307.25,120.0,7.6
173,2BT01h01004,01h 1.0%,1.0,1,2021-08-06 11:08:22,0.0,bright,12.0,441.0,36.75,172.0,227.0,399.0,3817.3,4069.36,7886.66,22.19360465116279,17.92669603524229,20.06015034320254,2.9,2.1,0.23,2.4835330957779935,female,285.0,120.0,7.6
174,2BT01h01005,01h 1.0%,1.0,1,2021-08-06 11:24:50,0.0,bright,30.0,425.0,14.166666666666666,39.0,373.0,412.0,759.19,7406.93,8166.120000000001,19.466410256410256,19.857721179624665,19.66206571801746,2.6,2.1,0.21,2.2675736961451243,female,307.25,120.0,7.6
175,2BT01h01006,01h 1.0%,1.0,1,2021-08-06 11:41:11,0.0,bright,125.0,253.0,2.024,175.0,223.0,398.0,5482.44,7255.86,12738.3,31.328228571428568,32.53748878923766,31.932858680333116,3.1,2.4,0.23,1.6637731481481486,female,307.25,120.0,7.6
176,2BT01h01007,01h 1.0%,1.0,1,2021-08-06 11:58:17,0.0,dark,0.0,0.0,0.0,164.0,0.0,164.0,1530.01,0.0,1530.01,9.329329268292684,,9.329329268292684,3.1,2.6,0.34,1.9344560764679108,female,346.0,120.0,7.6
177,2BT01h01008,01h 1.0%,1.0,1,2021-08-06 12:16:17,0.0,bright,13.0,391.0,30.076923076923077,374.0,0.0,374.0,4678.7,0.0,4678.7,12.509893048128342,,12.509893048128342,2.7,2.1,0.17,1.8356548968793864,male,307.25,120.0,7.6
178,2BT01h01009,01h 1.0%,1.0,1,2021-08-06 12:33:34,0.0,bright,16.0,111.0,6.9375,87.0,0.0,87.0,1009.9,0.0,1009.9,11.608045977011495,,11.608045977011495,2.8,2.1,0.22,2.375553395961559,male,207.0,120.0,7.6
